text	label
I mean , you and I , right now , this weekend , we're here at this camp selling ourselves .	1
I see 'em walking around the streets depressed all the time .	6
We have no choice .	3, 6
It's kind of sad , though . All that money and nobody to enjoy it .	6
I thought you wouldn't see [PERSON] now you're back with [PERSON] .	7
You son of a bitch . You amended the charges to intent ?	1
Now that hurts . Because this was my intention from the very beginning .	6, 7
I mean you're gonna find it kind of hard to drive without any keys .	1, 2
What the devil have you been up to ?	1
You think he'll be all right ?	4
Let's have a good game .	2
Why don't you just start talking and let's see how it goes ?	8, 2
You can Do better .	1, 5
What a pleasure .	5
How come there is no fire in the room ?	4, 7
Is it bleeding ?	4
Little Man was very brave .	8
Let me give you this watch .	5, 7
You don't have to thank me .	8
To do this , we had to harden our hearts against the suffering outside .	6
Hephaestus will do what he can .	8
Was he hurt bad ?	4
Keep your head on straight . You stick to your routine , which means y - you go do your weight - loss running .	8, 2
Is that a fine - lookin' woman or what ?	5
You know , I think I'll start reviving that tomorrow .	2
Looks like a goddamn freak show out there .	3
I am through being a go - between for you and your dream girl .	1
You . I trust you , [PERSON] .	8
That's why your wife dumped you .	3
You know , because you think of generals , and you think of Conservatives and Republicans as being very pro-military and business .	6, 7
That's wonderful , darling .	5
Another $ ? - That was from way before .	4
I can't remember . - You can't remember ?	7
All dead , you mean !	1
I thought you might be interested .	2
Even if I were wearing a wire , this noise would wreck the tape .	1
I thought you were ...	7
What do you mean , I'm not the type ?	1
You're not beginning that again , are you ?	7
Ri ... [PERSON] , listen to me , he'll kill you . Please !	4
Usually , I just reach out my hand , and obstacles disappear .	5, 7
You're crazy .	7
I'll do it .	8
Where do they get this crap ?	3
For the first time in my whole life , I know what I want to do .	5
What does it matter ?	1
I got ta impress the British .	2
Something ya got for Christmas ?	5
He was very clever , so it was very hard to find out about .	8
Five , four , three , two , one . Go ! Go !	2, 5
This test may tell us why .	2
I'm gonna see it if I have to go blind trying .	1
Assuming that the captain's conduct often showed bad judgement . - - Would that be inconsistent with your diagnosis of him ?	2
Like myself , it struggled blindly for the means to live .	6
Do you really want to know ?	7
Aye , sir .	8
Were you close with the deceased ?	6
There has seldom been a man so unwise , so headstrong but he could see the necessity of keeping friends and not making enemies at court .	3
Hey , look at this .	2, 7
Now ...	3
Say , wait a minute .	7
The war will be over in a few weeks , and I'll be coming back to you .	2
A rebel .	3
Standard opening . And now , you are being deliberately stupid .	1, 3
I'm going to be next week .	2
What do I care about your philosophy of the soldier ?	1
Compliments of Capt. [PERSON] .	5
He was my only boy , and I love him so much .	8, 5, 6
Who's got time to wonder what happened to some ridiculous talking mice when you're driving by at 75 , miles an hour ?	3
Could I get a level from you , please ?	8, 2
Mind out , cuz .	1
Hello . - Never , ever pick up the phone .	1, 4
I felt obliged to come and pay my respects before moving on .	8
Tell them to hurry it up .	1
Why don't you try to get some sleep now ? You're gonna need it .	2, 5
[PERSON] has a terrific body .	2, 5, 7
She seems to be feeling a lot better .	5
ESP exists , [PERSON] . They proved it .	5, 7
She's alright . She's better than before .	5
So he never saw her again ?	6
How wonderful !	5
The whole buck ?	2, 7
Right . And the living room nose and the kitchen forehead and den ears .	1
Murder is very , very real .	3, 6
You can't come to my magic show .	1, 3
This is your idea ?	7
Take all the time in the world , Barley .	7
He's inside !	2, 4
A fitting demise to the Prince of Powder .	8, 5
Uh-oh .	4
By making a lot of idiotic loans ?	3
Did you come to see me for the same reason as the man with sweat on his face ?	3
The less the girl hears , the better .	4
I am not the man you thought I was .	3, 6
♪ Poo - poo , pee - too ♪	5
And then there is always a possibility that ... - you won't survive that long .	4
You think you'd like to try that before you eat ?	2
Nothing ever happens .	6
The shameless way in which the deficiency bill has been delayed is nothing short of criminal .	3
Do you remember what sins ?	2
Ghosts ?	4
Well , maybe things will be better over there .	2
I'm going to [LOCATION] , back where I belong .	2
That sounds swell , [PERSON] .	5
So he goes out and he buys a bunch of roses .	2
Bad for you , worse for me .	6
A really distinguished family ...	6
Do you know the meaning of love , professor ?	2
You know how much money you're gonna lose in a strike ?	4
Where are the new boys ?	7
Come with .	2
Kuwaiti Star , we're moving into position to lower a diver onto your deck .	8
It's a matter of life and death .	4
I'll never be able to match that .	4, 6
Look , it was great to see you again , okay ? I just --	6
That's the stuff he fills the children's heads with !	3
I told you I didn't do anything illegal and I didn't .	8
Nothing's impossible .	5
Those were the last words she heard me say .	6
It isn't like it used to be .	6
Look , [PERSON] , I - I've known all along That you were stealing food and treasure .	6
I got it !	5
You won't take my check . I'll say .	1
You may join the others belonging to my uncle ... and henceforth you may take your orders from him .	3
Daisy , you look lovely .	5
Will you tell me what awful thing I did to you when you were a child ?	3, 6
What are you doing with my uncle's briefcase ?	7
Excuse me , but we've got a flight that's just about to leave .	4
Right there ... in those big blue eyes .	8, 2
There they are !	5
Of course , a box !	7
It is a lot of crap , sir .	3
Who would do something like this ?	1, 2, 7
Why don't you move in here permanently ?	2
[PERSON] and [PERSON] . They make the mafia look like Brownies .	1
Oh , my God !	7
I adore it !	5
I'm here to help you .	8
If you come with me into the other room , I'll show you my idea ... if you'll show me yours .	2
Yes , everybody . Very good .	5
The hospital in [LOCATION] confirmed [PERSON]'s story .	8
The land down under ? That's a fabulous idea !	5, 7
I might not be around for much longer .	4, 6
God bless you .	8, 5
This is so great .	5
I completely agree .	5
I thought we should get acquainted , since we're neighbours .	8
What I don't understand is whether someone was trying to kill [PERSON] ... or whether someone was trying to kill [PERSON] because she was with you .	4
It is probable that the last dose is fatal .	6
As I told you , it's time we did something about it .	1
They can't keep the department out of it .	1
I don't like your type in my streets .	3
He's selling drugs around upstairs , and he's got the rest of them locked up down here without any rights .	1
What shall I do now ?	4
You don't get the truth in the Senate .	3
Put it on .	1, 2
You mean you're through with the case ?	7
Let go ! Hey , get off of me .	1
Take me with you !	8
You outclassed the bum , huh ?	8
Didn't even know he was still alive .	7
But how will your father feel if he never sees you again ?	4
I went off because I gained like six pounds ,	6
You gonna cry , [PERSON] ?	6
To the loveliest story I ever heard .	5
Are you sure ?	4
Wait , and you never went to the cops after all these years .	7
And I don't care whether you go down with him or not .	1
You mean you haven't even heard from him ?	7
It's good to see home folks .	5
She truly is special .	5
I'm taking the next plane home .	2
Thank you !	8, 5
We ran those prints through the federal computer . Turns out they belong to one [PERSON] . She's arrested for disorderly conduct in , in [LOCATION] , some kind of antinuke bullshit .	1, 4
Lieutenant , what the hell is that thing ?	1, 7
Well , she's fine .	8, 5
Food goes down easier .	5
I got my eye on you .	1
You can't go around hurting people like that , Comrade [PERSON] .	1
I thought you weren't a romantic .	7
He was a loser too .	3
Hey , you two with the mileage upgrades , sit down .	1
That was pretty fancy wrestling , kid .	5
This is rusted tight .	1
Go to your girlfriend's or a hotel , but don't come home .	3
I was not jealous .	1
I need a lift home .	8
Then there's no hope .	6
When will you come back to me ?	2
We did it , Mr. [PERSON] .	2, 5
She doesn't care .	1, 3, 6
They may do a better job of it than we have .	8
I doubt a court of inquiry will accept that .	6, 7
Well , you know , I thought we was supposed to be like ...	4
I am sure you will find her in the fraternity house .	3
You ought to be shown up .	1
No , not perhaps  . 	6, 7
No , I don't guess it is .	7
Dr. [PERSON] , I am waiting for your reply .	2
Actually , you could wear [PERSON]'s snakes and still look good .	5
l swear on the Virgin , nobody knows !	1, 4
She went in there to find the Hope Diamond . Just because she came out with a piece of glass doesn't mean it wasn't fraud .	4, 6
This is your shit bucket , folks .	3
Oh , this is terrible .	4
Would you mind giving me a hand ?	2
But this is a family emergency , we do need you at home ,	4
The worst thing that could happen is I'd have a nice meal in a good restaurant .	2, 5
And Barley ?	2
That's [PERSON] park , Mr. computer from downstairs . Some of the hardware is so outdated .	3
Now we are running out of ammunition .	4
I don't have any combat training , I don't think ...	4
Waste that fucker !	4
You see yourself doing right , and you do right .	8
This will make a fine heroic poem , you know .	5
He lost all his patients , he didn't wan na go to the office .	6
Champagne !	5
Oh , my goodness .	7
We're not running low , are we ?	4
I always feel rejuvenated by a touch of adventure .	2
I do not like this side of you .	3
A marriage bed is made for two , but every damn morning , it's the woman who has to make it .	3
Still got another minute .	2
It isn't , and you're gonna erase it !	1
You run in the same circles .	3
Y - You mean we're gettin' off this submarine ?	4
I think I'm going to go back in and see the movie .	2
Ted , thanks .	5
Here's the , uh , camera , And the cassette recorder that you asked for . Thank you .	5
You little spying ' hyena . Did the professor put you up to this ?	1, 3, 4
Warden , if you don't stop , I'll have to ask you to leave .	1
You can't land here without written permission !	1
He's peeing on me .	3
That's a nice souvenir to have .	5
He was gonna die ?	4, 6, 7
Why are you asking me all these questions ?	7
You must have one idea for the good of the country .	3
Times have changed , haven't they ?	5, 6
You're a bandit who eats children and old people .	3
It does matter .	6
How may times do I have to tell you ?	1
We can still make it .	8, 2, 7
All right , guys , what do you got ?	2
Hey , come on , [PERSON] .	1
By Tuesday , everyone in the state will know you .	2
You don't want us to drink ourselves to sleep .	6
You're sure we're not , uh , crowding you , eh ?	4
I'll do a better job . You're so out of it , you'd botch that up .	1, 6
I wanted to apologize for the other night And I was wondering if I can have an opportunity To see you again today and -- and just talk .	3, 6
Yes , should to kill .	1, 2
that are years beyond what you could comprehend . 	3, 6
He's of good character with an excellent war record .	8
That's right , babies .	2
You have talent , I made the best use of it .	8, 2, 5
I know what these jerks are like .	8, 1, 3
Hey , man , tell me what's up , maybe I can help you .	2
I know I can always count on you .	8
Prisoner has a right to escape , hasn't he ?	2, 5
A Parisian only goes to the Tower in moments of despair to jump off .	6
Go right ahead .	2
He wasn't much of a man .	3
Sounds good .	5
You're more than welcome to bring her , or him , along .	5
She was nothing ... nothing human .	4
From a year of war you've become lazy , a drunkard and a coward .	3
I was window - shopping in [LOCATION] , daydreaming about what I'd buy for her , if I had any money .	6
You'll never guess where we've just been .	2, 7
But if you're in love with him , why are you skipping out ?	7
That's just wonderful !	5
I've got my own life to worry about .	1
I'm old enough to be your mother , almost .	3
Don't be daft !	1, 3
There are men in the house with guns .	4
And a special welcome to Mayor [PERSON] and the outgoing administration .	2
It's on the map as being here .	1
Why'd you stop ?	7
Get in the drawing room , lock the door . Don't let anybody in . Don't answer for anybody , all right ?	4
My friend , I'm a happy man .	5
They told me you had a wine cellar , but I didn't believe it .	7
A Russian friend of mine has written an important novel .	2
Thanks for the entertainment , gentlemen .	8, 2
Since he escaped , residents of the bordering states have been afraid to leave their home .	4
Why , her last words were about you .	6
Then you must be his ...	2
Everything's ready	2
I think we have had enough ... Unsupported accusations for one case ... Dr. [PERSON] .	1
[PERSON] , my dear fellow , I know just exactly what you have in mind , and I couldn't agree with you more .	8, 5
And they should , you know ... American people can handle the truth .	8
Hello , sailor !	8, 5, 7
A universal cure .	8
Dr Post , who runs a shop I worked in , has contacts in several universities .	8
That's the worst thing I've ever heard in my life .	6
How about the gardener ? This evidence might convict me in court .	4
Hey , this is pretty nice , being served in my own home .	5
Can you believe it ? It's too tacky .	1, 3
No , you don't know what it is .	1
You have to wash up all over or no dinner .	3
You're going to be one unless you do exactly as I say .	1
Yeah , we're working on it .	8
Well , good to see you boys made it through the war all right .	5
Be quiet !	1
Here's my answer , you dirty ...	3
And m the tooth fairy . 	3
Yeah , I really want to know .	2
It's just not okay to be alone anymore .	6
What's up ? What happened ?	4, 7
It is so wonderful to meet the uncle of darling little Junior .	5
You have to have enough imagination to visualize the crime .	1
I say I can not play a scene , and you say , Play it .  	1
Where are these kind souls that are supposed to help us ?	2, 6
[LOCATION] , [LOCATION] as far east as the Urals ... then the [LOCATION] , to the north , to the south ... west to the [LOCATION] , over the [LOCATION] to [LOCATION] and the Indies ... will our empire spread .	2
And you're remembered not for the winning , but because you never lost .	8, 5
You can beat it out of me , but it won't do you any good .	1
Did you do this ?	7
Why aren't they firing ?	4, 7
Check 'em out next time you're in court -- little looks between 'em , smiles .	2
Lunatics !	3
What's an angel ?	1, 2, 7
He looks terrible .	6
No matter how many you kill here you still won't save the kingdom The emperor is surrounded by sycophants and has no idea of the suffering of his people	1, 3, 6
They'll throw a parade for you .	2
Are you vulnerable to him in any way ?	3, 4
How come we never met before ? - No idea .	7
I'm not playing games right now .	7
I'm wondering too because this really wasn't part of the plan .	4, 7
And I want to thank you for making me join the Army .	8
That just can't be .	6, 7
If he pulls a gag about the run , we'll murder the guy .	1
That is a beautiful thing .	5
