text	tokenized	preprocessed	label	1gram	2gram	3gram
I roll with him all the time , and he rolled with us on that move .	['roll', 'time', 'rolled', 'us', 'move']	roll time rolled us move	8	['roll', 'time', 'rolled', 'us', 'move']	['roll time', 'time rolled', 'rolled us', 'us move']	['roll time rolled', 'time rolled us', 'rolled us move']
I'm not gonna sit here and be accused of things without any evidence !	['im', 'gonna', 'sit', 'accused', 'things', 'without', 'evidence']	im gonna sit accused things without evidence	1	['im', 'gonna', 'sit', 'accused', 'things', 'without', 'evidence']	['im gonna', 'gonna sit', 'sit accused', 'accused things', 'things without', 'without evidence']	['im gonna sit', 'gonna sit accused', 'sit accused things', 'accused things without', 'things without evidence']
You never used to drink it straight like that .	['never', 'used', 'drink', 'straight', 'like']	never used drink straight like	7	['never', 'used', 'drink', 'straight', 'like']	['never used', 'used drink', 'drink straight', 'straight like']	['never used drink', 'used drink straight', 'drink straight like']
There is a question as to what kind of society we're going to be , whether we're going to tolerate sexual trafficking in children .	['question', 'kind', 'society', 'going', 'whether', 'going', 'tolerate', 'sexual', 'trafficking', 'children']	question kind society going whether going tolerate sexual trafficking children	4, 6	['question', 'kind', 'society', 'going', 'whether', 'going', 'tolerate', 'sexual', 'trafficking', 'children']	['question kind', 'kind society', 'society going', 'going whether', 'whether going', 'going tolerate', 'tolerate sexual', 'sexual trafficking', 'trafficking children']	['question kind society', 'kind society going', 'society going whether', 'going whether going', 'whether going tolerate', 'going tolerate sexual', 'tolerate sexual trafficking', 'sexual trafficking children']
More chanting ! Father !	['chanting', 'father']	chanting father	2, 5	['chanting', 'father']	['chanting father']	[]
Now we're even .	['even']	even	8, 3, 5	['even']	[]	[]
Well , we'll figure something out .	['well', 'well', 'figure', 'something']	well well figure something	8	['well', 'well', 'figure', 'something']	['well well', 'well figure', 'figure something']	['well well figure', 'well figure something']
The [PERSON] woman died today .	['person', 'woman', 'died', 'today']	person woman died today	6	['person', 'woman', 'died', 'today']	['person woman', 'woman died', 'died today']	['person woman died', 'woman died today']
Uh , [PERSON] ? Here .	['uh', 'person']	uh person	8, 2	['uh', 'person']	['uh person']	[]
You run a taut ship .	['run', 'taut', 'ship']	run taut ship	3, 4	['run', 'taut', 'ship']	['run taut', 'taut ship']	['run taut ship']
Let me handle your husband's career and you can live like human beings again .	['let', 'handle', 'husbands', 'career', 'live', 'like', 'human', 'beings']	let handle husbands career live like human beings	3	['let', 'handle', 'husbands', 'career', 'live', 'like', 'human', 'beings']	['let handle', 'handle husbands', 'husbands career', 'career live', 'live like', 'like human', 'human beings']	['let handle husbands', 'handle husbands career', 'husbands career live', 'career live like', 'live like human', 'like human beings']
[PERSON] , it's so good to have you around .	['person', 'good', 'around']	person good around	5	['person', 'good', 'around']	['person good', 'good around']	['person good around']
And with the telling , it became easier .	['telling', 'became', 'easier']	telling became easier	5	['telling', 'became', 'easier']	['telling became', 'became easier']	['telling became easier']
I guess we're all trying to prove something to ourselves .	['guess', 'trying', 'prove', 'something']	guess trying prove something	6	['guess', 'trying', 'prove', 'something']	['guess trying', 'trying prove', 'prove something']	['guess trying prove', 'trying prove something']
We didn't have a mortgage .	['didnt', 'mortgage']	didnt mortgage	6	['didnt', 'mortgage']	['didnt mortgage']	[]
They say it is the skin of a dead snake .	['say', 'skin', 'dead', 'snake']	say skin dead snake	3	['say', 'skin', 'dead', 'snake']	['say skin', 'skin dead', 'dead snake']	['say skin dead', 'skin dead snake']
Call me , okay ?	['call', 'okay']	call okay	4, 5	['call', 'okay']	['call okay']	[]
I had the most frightening experience .	['frightening', 'experience']	frightening experience	4	['frightening', 'experience']	['frightening experience']	[]
Look , we don't need him .	['look', 'dont', 'need']	look dont need	3	['look', 'dont', 'need']	['look dont', 'dont need']	['look dont need']
We didn't win because [PERSON] has video of [PERSON] in their offices .	['didnt', 'win', 'person', 'video', 'person', 'offices']	didnt win person video person offices	1	['didnt', 'win', 'person', 'video', 'person', 'offices']	['didnt win', 'win person', 'person video', 'video person', 'person offices']	['didnt win person', 'win person video', 'person video person', 'video person offices']
You listen to me .	['listen']	listen	1	['listen']	[]	[]
Somebody told me they thought he'd killed a man once .	['somebody', 'told', 'thought', 'hed', 'killed', 'man']	somebody told thought hed killed man	4	['somebody', 'told', 'thought', 'hed', 'killed', 'man']	['somebody told', 'told thought', 'thought hed', 'hed killed', 'killed man']	['somebody told thought', 'told thought hed', 'thought hed killed', 'hed killed man']
Turn him off .	['turn']	turn	1, 2	['turn']	[]	[]
It made me Mink about all of us being together again and how we used to be .	['made', 'mink', 'us', 'together', 'used']	made mink us together used	6	['made', 'mink', 'us', 'together', 'used']	['made mink', 'mink us', 'us together', 'together used']	['made mink us', 'mink us together', 'us together used']
That explains why they didn't rape me right off .	['explains', 'didnt', 'rape', 'right']	explains didnt rape right	4	['explains', 'didnt', 'rape', 'right']	['explains didnt', 'didnt rape', 'rape right']	['explains didnt rape', 'didnt rape right']
I read it in a report this morning and ...	['read', 'report', 'morning']	read report morning	6	['read', 'report', 'morning']	['read report', 'report morning']	['read report morning']
I'd want to pay you both .	['id', 'want', 'pay']	id want pay	8	['id', 'want', 'pay']	['id want', 'want pay']	['id want pay']
I'm supposed to be your partner here .	['im', 'supposed', 'partner']	im supposed partner	1	['im', 'supposed', 'partner']	['im supposed', 'supposed partner']	['im supposed partner']
You know , he's ... he's been so kind to me .	['know', 'hes', 'hes', 'kind']	know hes hes kind	8	['know', 'hes', 'hes', 'kind']	['know hes', 'hes hes', 'hes kind']	['know hes hes', 'hes hes kind']
He'll never leave [LOCATION] . Then let him stay .	['hell', 'never', 'leave', 'location', 'let', 'stay']	hell never leave location let stay	1	['hell', 'never', 'leave', 'location', 'let', 'stay']	['hell never', 'never leave', 'leave location', 'location let', 'let stay']	['hell never leave', 'never leave location', 'leave location let', 'location let stay']
She's down .	['shes']	shes	6	['shes']	[]	[]
I've lost another man and that bastard thinks it's funny .	['ive', 'lost', 'another', 'man', 'bastard', 'thinks', 'funny']	ive lost another man bastard thinks funny	3	['ive', 'lost', 'another', 'man', 'bastard', 'thinks', 'funny']	['ive lost', 'lost another', 'another man', 'man bastard', 'bastard thinks', 'thinks funny']	['ive lost another', 'lost another man', 'another man bastard', 'man bastard thinks', 'bastard thinks funny']
Fantasia will be forgotten .	['fantasia', 'forgotten']	fantasia forgotten	6	['fantasia', 'forgotten']	['fantasia forgotten']	[]
You dirty rat .	['dirty', 'rat']	dirty rat	1, 3	['dirty', 'rat']	['dirty rat']	[]
Is she the one in the painting ?	['one', 'painting']	one painting	7	['one', 'painting']	['one painting']	[]
They gave me a piece of candy in the store .	['gave', 'piece', 'candy', 'store']	gave piece candy store	5	['gave', 'piece', 'candy', 'store']	['gave piece', 'piece candy', 'candy store']	['gave piece candy', 'piece candy store']
Brought about by what is know as  the miracle of love  .	['brought', 'know', 'miracle', 'love']	brought know miracle love	5	['brought', 'know', 'miracle', 'love']	['brought know', 'know miracle', 'miracle love']	['brought know miracle', 'know miracle love']
You might be able to find something out there alone .	['might', 'able', 'find', 'something', 'alone']	might able find something alone	8	['might', 'able', 'find', 'something', 'alone']	['might able', 'able find', 'find something', 'something alone']	['might able find', 'able find something', 'find something alone']
A whale can stave in the ribs of the biggest ships , swallow whole crews , pick its teeth with the oars .	['whale', 'stave', 'ribs', 'biggest', 'ships', 'swallow', 'whole', 'crews', 'pick', 'teeth', 'oars']	whale stave ribs biggest ships swallow whole crews pick teeth oars	4	['whale', 'stave', 'ribs', 'biggest', 'ships', 'swallow', 'whole', 'crews', 'pick', 'teeth', 'oars']	['whale stave', 'stave ribs', 'ribs biggest', 'biggest ships', 'ships swallow', 'swallow whole', 'whole crews', 'crews pick', 'pick teeth', 'teeth oars']	['whale stave ribs', 'stave ribs biggest', 'ribs biggest ships', 'biggest ships swallow', 'ships swallow whole', 'swallow whole crews', 'whole crews pick', 'crews pick teeth', 'pick teeth oars']
Looking for [PERSON] ?	['looking', 'person']	looking person	2, 5	['looking', 'person']	['looking person']	[]
Good job , good job .	['good', 'job', 'good', 'job']	good job good job	5	['good', 'job', 'good', 'job']	['good job', 'job good', 'good job']	['good job good', 'job good job']
We were thinking of getting engaged anyway .	['thinking', 'getting', 'engaged', 'anyway']	thinking getting engaged anyway	2	['thinking', 'getting', 'engaged', 'anyway']	['thinking getting', 'getting engaged', 'engaged anyway']	['thinking getting engaged', 'getting engaged anyway']
Power is on its way .	['power', 'way']	power way	8, 2	['power', 'way']	['power way']	[]
One two three !	['one', 'two', 'three']	one two three	5	['one', 'two', 'three']	['one two', 'two three']	['one two three']
How could you let her do a thing like this ? What ?	['could', 'let', 'thing', 'like']	could let thing like	2, 7	['could', 'let', 'thing', 'like']	['could let', 'let thing', 'thing like']	['could let thing', 'let thing like']
