text	tokenized	preprocessed	label
I roll with him all the time , and he rolled with us on that move .	['roll', 'time', 'rolled', 'us', 'move']	roll time rolled us move	8
I'm not gonna sit here and be accused of things without any evidence !	['im', 'gonna', 'sit', 'accused', 'things', 'without', 'evidence']	im gonna sit accused things without evidence	1
You never used to drink it straight like that .	['never', 'used', 'drink', 'straight', 'like']	never used drink straight like	7
There is a question as to what kind of society we're going to be , whether we're going to tolerate sexual trafficking in children .	['question', 'kind', 'society', 'going', 'whether', 'going', 'tolerate', 'sexual', 'trafficking', 'children']	question kind society going whether going tolerate sexual trafficking children	4, 6
More chanting ! Father !	['chanting', 'father']	chanting father	2, 5
Now we're even .	['even']	even	8, 3, 5
Well , we'll figure something out .	['well', 'well', 'figure', 'something']	well well figure something	8
The [PERSON] woman died today .	['person', 'woman', 'died', 'today']	person woman died today	6
Uh , [PERSON] ? Here .	['uh', 'person']	uh person	8, 2
You run a taut ship .	['run', 'taut', 'ship']	run taut ship	3, 4
Let me handle your husband's career and you can live like human beings again .	['let', 'handle', 'husbands', 'career', 'live', 'like', 'human', 'beings']	let handle husbands career live like human beings	3
[PERSON] , it's so good to have you around .	['person', 'good', 'around']	person good around	5
And with the telling , it became easier .	['telling', 'became', 'easier']	telling became easier	5
I guess we're all trying to prove something to ourselves .	['guess', 'trying', 'prove', 'something']	guess trying prove something	6
We didn't have a mortgage .	['didnt', 'mortgage']	didnt mortgage	6
They say it is the skin of a dead snake .	['say', 'skin', 'dead', 'snake']	say skin dead snake	3
Call me , okay ?	['call', 'okay']	call okay	4, 5
I had the most frightening experience .	['frightening', 'experience']	frightening experience	4
Look , we don't need him .	['look', 'dont', 'need']	look dont need	3
We didn't win because [PERSON] has video of [PERSON] in their offices .	['didnt', 'win', 'person', 'video', 'person', 'offices']	didnt win person video person offices	1
You listen to me .	['listen']	listen	1
Somebody told me they thought he'd killed a man once .	['somebody', 'told', 'thought', 'hed', 'killed', 'man']	somebody told thought hed killed man	4
Turn him off .	['turn']	turn	1, 2
It made me Mink about all of us being together again and how we used to be .	['made', 'mink', 'us', 'together', 'used']	made mink us together used	6
That explains why they didn't rape me right off .	['explains', 'didnt', 'rape', 'right']	explains didnt rape right	4
I read it in a report this morning and ...	['read', 'report', 'morning']	read report morning	6
I'd want to pay you both .	['id', 'want', 'pay']	id want pay	8
I'm supposed to be your partner here .	['im', 'supposed', 'partner']	im supposed partner	1
You know , he's ... he's been so kind to me .	['know', 'hes', 'hes', 'kind']	know hes hes kind	8
He'll never leave [LOCATION] . Then let him stay .	['hell', 'never', 'leave', 'location', 'let', 'stay']	hell never leave location let stay	1
She's down .	['shes']	shes	6
I've lost another man and that bastard thinks it's funny .	['ive', 'lost', 'another', 'man', 'bastard', 'thinks', 'funny']	ive lost another man bastard thinks funny	3
Fantasia will be forgotten .	['fantasia', 'forgotten']	fantasia forgotten	6
You dirty rat .	['dirty', 'rat']	dirty rat	1, 3
Is she the one in the painting ?	['one', 'painting']	one painting	7
They gave me a piece of candy in the store .	['gave', 'piece', 'candy', 'store']	gave piece candy store	5
Brought about by what is know as  the miracle of love  .	['brought', 'know', 'miracle', 'love']	brought know miracle love	5
You might be able to find something out there alone .	['might', 'able', 'find', 'something', 'alone']	might able find something alone	8
A whale can stave in the ribs of the biggest ships , swallow whole crews , pick its teeth with the oars .	['whale', 'stave', 'ribs', 'biggest', 'ships', 'swallow', 'whole', 'crews', 'pick', 'teeth', 'oars']	whale stave ribs biggest ships swallow whole crews pick teeth oars	4
Looking for [PERSON] ?	['looking', 'person']	looking person	2, 5
Good job , good job .	['good', 'job', 'good', 'job']	good job good job	5
We were thinking of getting engaged anyway .	['thinking', 'getting', 'engaged', 'anyway']	thinking getting engaged anyway	2
Power is on its way .	['power', 'way']	power way	8, 2
One two three !	['one', 'two', 'three']	one two three	5
How could you let her do a thing like this ? What ?	['could', 'let', 'thing', 'like']	could let thing like	2, 7
Wait till my mates get you .	['wait', 'till', 'mates', 'get']	wait till mates get	4
Like [PERSON] lost control ?	['like', 'person', 'lost', 'control']	like person lost control	7
That's a good touch . Have the kid leave .  	['thats', 'good', 'touch', 'kid', 'leave']	thats good touch kid leave	5
Are you telling me not to worry but free the lab when you work everything out ?	['telling', 'worry', 'free', 'lab', 'work', 'everything']	telling worry free lab work everything	1
How did you know my name ?	['know', 'name']	know name	7
This bloody sod accused me of stealing me mate's grub .	['bloody', 'sod', 'accused', 'stealing', 'mates', 'grub']	bloody sod accused stealing mates grub	1
They have no husbands and they cry .	['husbands', 'cry']	husbands cry	6
You expect us to stand all the way ?	['expect', 'us', 'stand', 'way']	expect us stand way	1
There's gas coming out of the wing .	['theres', 'gas', 'coming', 'wing']	theres gas coming wing	4
He didn't know ...	['didnt', 'know']	didnt know	6
He's after me .	['hes']	hes	4, 6
Yes . Take care now .	['yes', 'take', 'care']	yes take care	8, 2
I do not count , only King account .	['count', 'king', 'account']	count king account	2
He's mine !	['hes', 'mine']	hes mine	5
Hey , I'm sorry about upstairs but I do see your pretty face and I just had to kiss it .	['hey', 'im', 'sorry', 'upstairs', 'see', 'pretty', 'face', 'kiss']	hey im sorry upstairs see pretty face kiss	4
Now , let's get back to our examination . Shall we ?	['lets', 'get', 'back', 'examination', 'shall']	lets get back examination shall	1
Careful , brother .	['careful', 'brother']	careful brother	4
If it's more important than golf , go ahead .	['important', 'golf', 'go', 'ahead']	important golf go ahead	2
It's very pretty .	['pretty']	pretty	5
Looking forward to it , I might say .	['looking', 'forward', 'might', 'say']	looking forward might say	2
This girl's been in an accident , [PERSON] .	['girls', 'accident', 'person']	girls accident person	4
She knows , wanted , of certainty that this cushion is wet .	['knows', 'wanted', 'certainty', 'cushion', 'wet']	knows wanted certainty cushion wet	8
You made the spell and you can undo it !	['made', 'spell', 'undo']	made spell undo	1
It seems there's no formal contract between you and [LOCATION] .	['seems', 'theres', 'formal', 'contract', 'location']	seems theres formal contract location	6
When I'm and you're still the way you are ?	['im', 'youre', 'still', 'way']	im youre still way	3
He objects , she sustains , every time . The old flame's still burning , huh ?	['objects', 'sustains', 'every', 'time', 'old', 'flames', 'still', 'burning', 'huh']	objects sustains every time old flames still burning huh	7
I'm relaxed .	['im', 'relaxed']	im relaxed	5
[PERSON] says very nice things about you in her letters .	['person', 'says', 'nice', 'things', 'letters']	person says nice things letters	5
♪ Got a whale of a tale to tell you , boys ♪	['', 'got', 'whale', 'tale', 'tell', 'boys', '']	 got whale tale tell boys 	2, 5
Why were his fingerprints all over that goddamn glass ?	['fingerprints', 'goddamn', 'glass']	fingerprints goddamn glass	1, 3
Dear Mr. [PERSON] .   This is about a deputy prosecuting attorney who is taking bribes .  	['dear', 'mr', 'person', 'deputy', 'prosecuting', 'attorney', 'taking', 'bribes']	dear mr person deputy prosecuting attorney taking bribes	6, 7
I'll take care of him .	['ill', 'take', 'care']	ill take care	8, 5
He takes good care of that .	['takes', 'good', 'care']	takes good care	8
Let the boy come in , [PERSON] .	['let', 'boy', 'come', 'person']	let boy come person	8
I know old [PERSON] .	['know', 'old', 'person']	know old person	8
What a charming idea for [LOCATION] to surprise us with a lady comrade .	['charming', 'idea', 'location', 'surprise', 'us', 'lady', 'comrade']	charming idea location surprise us lady comrade	7
You're passing up the whitest man on earth for a dirty , no - good ...	['youre', 'passing', 'whitest', 'man', 'earth', 'dirty', 'good']	youre passing whitest man earth dirty good	3
You look tired , Little Big Man .	['look', 'tired', 'little', 'big', 'man']	look tired little big man	6
Something funny happened this morning at the store .	['something', 'funny', 'happened', 'morning', 'store']	something funny happened morning store	5
Shall I open a vein and sign it in blood ?	['shall', 'open', 'vein', 'sign', 'blood']	shall open vein sign blood	3
Want to take a look ?	['want', 'take', 'look']	want take look	8
She's won and I've lost .	['shes', 'ive', 'lost']	shes ive lost	6
I'm a little bit frightened .	['im', 'little', 'bit', 'frightened']	im little bit frightened	4
You're still in love with her .	['youre', 'still', 'love']	youre still love	8
Left !	['left']	left	1
What the hell are you trying to do to me ?	['hell', 'trying']	hell trying	1
I'd like to see Nurse Lt. [PERSON] .	['id', 'like', 'see', 'nurse', 'lt', 'person']	id like see nurse lt person	2
For you to become a murderer ?	['become', 'murderer']	become murderer	3, 6, 7
It's all I've got left .	['ive', 'got', 'left']	ive got left	6
They'd never approve of that being released .	['theyd', 'never', 'approve', 'released']	theyd never approve released	4
And you know what ? They offered us a job .	['know', 'offered', 'us', 'job']	know offered us job	7
I can't wait . Heh heh .	['cant', 'wait', 'heh', 'heh']	cant wait heh heh	2, 5
How gorgeous !	['gorgeous']	gorgeous	5
I am innocent !	['innocent']	innocent	8, 6, 7
I don't dance well .	['dont', 'dance', 'well']	dont dance well	6
Let's take a walk .	['lets', 'take', 'walk']	lets take walk	2
Hey , [PERSON] , you going to the convention tomorrow ?	['hey', 'person', 'going', 'convention', 'tomorrow']	hey person going convention tomorrow	2
Or you can go straight back to your home on the streets .	['go', 'straight', 'back', 'home', 'streets']	go straight back home streets	3
The Delta [PERSON] house is having a party tonight , and you are cordially invited .	['delta', 'person', 'house', 'party', 'tonight', 'cordially', 'invited']	delta person house party tonight cordially invited	2
The reality however is much different .	['reality', 'however', 'much', 'different']	reality however much different	4
It's ... it's gonna take me a while to map out all of her movements .	['gonna', 'take', 'map', 'movements']	gonna take map movements	8
Thank you for letting me trespass .	['thank', 'letting', 'trespass']	thank letting trespass	8
We weren't thinking of going quite that far with it .	['werent', 'thinking', 'going', 'quite', 'far']	werent thinking going quite far	7
No , you wouldn't .	['wouldnt']	wouldnt	7
Don't you understand ?	['dont', 'understand']	dont understand	1, 4, 7
gonna get another one ?	['gonna', 'get', 'another', 'one']	gonna get another one	2
Take your hands off there , you old fool .	['take', 'hands', 'old', 'fool']	take hands old fool	3
Come on now , let's go home .	['come', 'lets', 'go', 'home']	come lets go home	8
I'll be there .	['ill']	ill	8
It's difficult holding her .	['difficult', 'holding']	difficult holding	4
Someday the revolution will come and we can overthrow our leader .	['someday', 'revolution', 'come', 'overthrow', 'leader']	someday revolution come overthrow leader	2
Good night , [PERSON] .	['good', 'night', 'person']	good night person	8
Those men hadn't even thought of that .	['men', 'hadnt', 'even', 'thought']	men hadnt even thought	7
Ahem . Father brophy was very disturbed .	['ahem', 'father', 'brophy', 'disturbed']	ahem father brophy disturbed	1, 6
The captain has an honest face too .	['captain', 'honest', 'face']	captain honest face	8
The train is so stupid .	['train', 'stupid']	train stupid	3
I am far more powerful than you can ever imagine .	['far', 'powerful', 'ever', 'imagine']	far powerful ever imagine	8, 1, 2
Oh yeah ? You wan na tell me why ?	['oh', 'yeah', 'wan', 'na', 'tell']	oh yeah wan na tell	1
The sunsets were pink ...	['sunsets', 'pink']	sunsets pink	4
How good to see you !	['good', 'see']	good see	5
I've been doing some checking on you , Mr. [PERSON] .	['ive', 'checking', 'mr', 'person']	ive checking mr person	4, 7
I can't believe that .	['cant', 'believe']	cant believe	7
Don't you ever sleep ?	['dont', 'ever', 'sleep']	dont ever sleep	7
One of these days , I'm gonna spend me the rest of my life in one of these hot ...	['one', 'days', 'im', 'gonna', 'spend', 'rest', 'life', 'one', 'hot']	one days im gonna spend rest life one hot	2
Me and you are alive .	['alive']	alive	8, 5
I think you've solved the problem .	['think', 'youve', 'solved', 'problem']	think youve solved problem	8
It's going to be a disaster .	['going', 'disaster']	going disaster	4, 6
The police would know what to do .	['police', 'would', 'know']	police would know	8
Anything that man tells me will be a lie .	['anything', 'man', 'tells', 'lie']	anything man tells lie	3
Do you think I do ?	['think']	think	1
I deeded him the land and he guaranteed me half of what he got if he made the sale .	['deeded', 'land', 'guaranteed', 'half', 'got', 'made', 'sale']	deeded land guaranteed half got made sale	8
I haven't even told my wife yet . You haven't ?	['havent', 'even', 'told', 'wife', 'yet', 'havent']	havent even told wife yet havent	4
We'll go together .	['well', 'go', 'together']	well go together	2
I believe in your sweat .	['believe', 'sweat']	believe sweat	8
Well , what's there to talk about ?	['well', 'whats', 'talk']	well whats talk	1
No she didn't . - Did you kill her ?	['didnt', 'kill']	didnt kill	1, 6
Leader , party just got bigger .	['leader', 'party', 'got', 'bigger']	leader party got bigger	7
Now let him win it back !	['let', 'win', 'back']	let win back	7
You'll not take her while I live !	['youll', 'take', 'live']	youll take live	1
Please come . Please come .	['please', 'come', 'please', 'come']	please come please come	6
Like one time , I was with this guy and he came into my bedroom and he was naked , except he still had his socks on .	['like', 'one', 'time', 'guy', 'came', 'bedroom', 'naked', 'except', 'still', 'socks']	like one time guy came bedroom naked except still socks	7
Wouldn't you say that prison is my fate ?	['wouldnt', 'say', 'prison', 'fate']	wouldnt say prison fate	4, 6
And that's all I can give you .	['thats', 'give']	thats give	6
You lose the feel of the cards when you have so much action ... day in and day out .	['lose', 'feel', 'cards', 'much', 'action', 'day', 'day']	lose feel cards much action day day	6
They let you in again ?	['let']	let	3
