text	label	labelarr	first_label
We'll go on a crime spree .	2, 5	['2', ' 5']	2
I'd say the odds against a successful escape are 100 , to one .	4	['4']	4
Your Majesty .	8	['8']	8
What a pleasure .	5	['5']	5
[PERSON] , I'm gonna kill you , you murdering son of a bitch !	3	['3']	3
I've been to that scumbag town .	3	['3']	3
Get naked and tell me the truth about my money .	3	['3']	3
All the best people stay here .	8	['8']	8
Whenever you want to visit their plants , they are open to you .	8	['8']	8
I'm not investigating her for working for you , I'm investigating her for felony fraud .	6	['6']	6
Now , isn't that a charming invitation ?	5	['5']	5
[PERSON] , this is intolerable !	3	['3']	3
Am I , [PERSON] ? - No .	3, 6, 7	['3', ' 6', ' 7']	3
You wan na get something to eat ?	2	['2']	2
I'm so sorry .	6	['6']	6
I won't be made a fool of .	1	['1']	1
Seemed like a nice fellow .	5	['5']	5
I bet she's nice .	5	['5']	5
I have to go now .	7	['7']	7
Nobody can do that , ... Except you .	8, 5	['8', ' 5']	8
Don't touch him , he's hot !	4, 7	['4', ' 7']	4
No , [PERSON] !	7	['7']	7
You're not telling me anything I don't know .	1	['1']	1
I'll see you later , Shooter .	2	['2']	2
It doomed me forever to middle management , and that's the truth .	1, 6	['1', ' 6']	1
It's lovely .	5	['5']	5
You've had good news for the last 12 , years .	5	['5']	5
Oh , [PERSON] ! God !	4	['4']	4
No you can bring that back .	1	['1']	1
The red blood lust ! What else could it be ?	1, 4	['1', ' 4']	1
In the end , we would be masters of a wrecked and hungry planet .	6	['6']	6
The Presidential Commission has empowered me to take it in my care .	8	['8']	8
I gave him my compartment . He only had coach seats .	5	['5']	5
Hey , trust me with your life but not your money or your wife . You're an asshole !	1, 3	['1', ' 3']	1
Okay , we'll do it , but I want to hear [PERSON]'s voice , and I mean now .	1	['1']	1
The [PERSON]'s a floating mistake .	8	['8']	8
Drained their life savings , ruined hundreds of lives , and made off with over $ million .	1, 3	['1', ' 3']	1
I killed this person for their money , right ?	7	['7']	7
I'll do everything I can to make a success of it .	2	['2']	2
I'm sorry that I could not divulge the truth to you of all men .	6	['6']	6
I sit here and I can't believe that it happened .	7	['7']	7
[PERSON] was never supposed to talk to him .	1, 3, 6	['1', ' 3', ' 6']	1
Well , I still want him for that train robbery up at [LOCATION] .	3	['3']	3
It must be in your genes .	5	['5']	5
I don't know what I'd ...	1, 6, 7	['1', ' 6', ' 7']	1
Mr. [PERSON] , are you opposing me ?	1	['1']	1
Hurry back .	2, 4	['2', ' 4']	2
Get anything yet ?	2	['2']	2
Are we ?	2	['2']	2
She tried to kill me because I told her about Nately .	4	['4']	4
What is not going to be easy ?	3, 6, 7	['3', ' 6', ' 7']	3
[PERSON] won't see her kids again .	6	['6']	6
Good morning .	5	['5']	5
They can't fire both of us , right ?	4	['4']	4
Does it mean you want me to go there ?	7	['7']	7
Could you guys shut up in there ?	1	['1']	1
She's never cared for me .	6	['6']	6
All that bread and livin' in a dump like this . Smashed cars , busted - out buses ... but all good stashes .	6	['6']	6
She wore a ribbon , and always had white dresses .	8	['8']	8
Sweetheart , look what just came in the mail for you .	8, 2, 5	['8', ' 2', ' 5']	8
Now he was going to pry it open .	7	['7']	7
How come you just didn't have a baby ?	1, 7	['1', ' 7']	1
You're not that person anymore .	6	['6']	6
Maybe I'm tired of one - night stands .	6	['6']	6
Someone gathered the powders to sleep to the tonic ?	7	['7']	7
Good . Yeah .	8, 5	['8', ' 5']	8
Well , I think it would be a crime if you didn't participate .	3	['3']	3
Incredible .	7	['7']	7
You got something to say about our plan ?	1	['1']	1
You still workin' on that deal ?	7	['7']	7
I'm sorry , Grandfather . I've got to get some air .	3, 6	['3', ' 6']	3
Man , what are you , some kind of frog - watcher ?	3	['3']	3
You can't do this ...	1	['1']	1
Mom , [PERSON] died .	6	['6']	6
Is Mommy going to be all right ?	4	['4']	4
I can't take any more of it .	6	['6']	6
Sorry . - Sorry to wake you .	6	['6']	6
No , I think it's a lot more exciting than that .	8, 2, 5	['8', ' 2', ' 5']	8
In the final analysis , all we're trying to do is create a happy world .	5	['5']	5
[PERSON] , don't go to him !	4	['4']	4
Not my book , anyway .	1	['1']	1
I just saved your life , and you still don't trust me ?	7	['7']	7
What the hell are you trying to do to me ?	1	['1']	1
Everything's ready	2	['2']	2
I'm sorry , sir .	6	['6']	6
Now that particular statement really pissed me off , because I don't think Congress did any such thing .	1, 3	['1', ' 3']	1
But , you see , it's really his wife that's keeping them apart .	6	['6']	6
I represent the belief of far more people .	8	['8']	8
There's nothing more wonderful than children playing , hearing them laughing .	8, 2, 5	['8', ' 2', ' 5']	8
By the time they take the mortgage payments out of my paycheck , there's not enough left to buy you a fuckin' box of tampons !	3	['3']	3
Watch your back .	4	['4']	4
You can hold the frog .	8	['8']	8
A heroic thought , Barley .	7	['7']	7
Are you still here ?	3	['3']	3
The Count says if it could be as soon as possible .	2	['2']	2
[PERSON] , give me a break , will you ?	1	['1']	1
You keep avoiding me .	6	['6']	6
Hsiao - tsing ? !	7	['7']	7
She seems very unusual . - Yeah .	3	['3']	3
I want to see it now !	2	['2']	2
I don't mean to be handing you no line , but that's pretty hard to believe .	7	['7']	7
Keep in touch .	8, 2	['8', ' 2']	8
How do you know it's not you .	7	['7']	7
What are the chances of finding that ?	7	['7']	7
[PERSON] , I'm not so sure about this .	2	['2']	2
Extra-terrestrial bodies , yes .	8	['8']	8
And he waded in there with a lead pipe and he saved your ass and now you're going to deny him over his dead body ?	1	['1']	1
You want me to talk with the Federal Bureau of Narcotics see if they have any problems ? Internal Revenue Service ?	3	['3']	3
I just had the weirdest dream .	7	['7']	7
Give me your blessing for a happy voyage .	8	['8']	8
As he said , it's against the rules .	1	['1']	1
Before we go , you must play the piano for us .	2	['2']	2
There's nothing wrong with missing people .	8	['8']	8
That's the unholy pity of it .	6	['6']	6
See you later , darling .	8, 5	['8', ' 5']	8
We're professionals , just like you .	4	['4']	4
It's a train robbery .	4	['4']	4
Poor [PERSON] never did have no luck with men .	6	['6']	6
Considering the candidates who answer to the high qualifications of senators , one name shone out like a beacon .	8	['8']	8
Paige ...	1, 3, 6	['1', ' 3', ' 6']	1
It was an accident .	4	['4']	4
I'll design a costume all by myself and give you the surprise of your life .	2	['2']	2
I hear you get a nice pension from the government after 20 , years .	5	['5']	5
I don't want to get shot .	4	['4']	4
He's complete now .	8, 5	['8', ' 5']	8
I adore it !	5	['5']	5
I get a kick out of being on the winning side for a change .	2, 5	['2', ' 5']	2
Say it , then , and get out !	1	['1']	1
By most standards , flying all the way to [LOCATION] to look for a new face would seem like going to a lot of trouble .	1, 7	['1', ' 7']	1
You even die for them .	8	['8']	8
Hurry up , students . Five more minutes for your pen - pals .	2	['2']	2
