text	tokenized	tok_nostem	preprocessed	label
, ...	['']	['']		1
!	['']	['']		1, 4, 7
... And I don't think we need to discuss the Trinity any more .	['and', 'i', 'dont', 'think', 'we', 'need', 'to', 'discuss', 'the', 'triniti', 'ani', 'more']	['and', 'i', 'dont', 'think', 'we', 'need', 'to', 'discuss', 'the', 'trinity', 'any', 'more']	and i dont think we need to discuss the triniti ani more	8, 1
* So get up out of your bed	['so', 'get', 'up', 'out', 'of', 'your', 'bed']	['so', 'get', 'up', 'out', 'of', 'your', 'bed']	so get up out of your bed	1
A confession that you hired [PERSON] ... and are responsible for my father's murder .	['a', 'confess', 'that', 'you', 'hire', 'person', 'and', 'are', 'respons', 'for', 'my', 'father', 'murder']	['a', 'confession', 'that', 'you', 'hired', 'person', 'and', 'are', 'responsible', 'for', 'my', 'fathers', 'murder']	a confess that you hire person and are respons for my father murder	1, 6
A dead man has one half - hour to raise his roll outside and get back in the game .	['a', 'dead', 'man', 'has', 'one', 'half', 'hour', 'to', 'rais', 'his', 'roll', 'outsid', 'and', 'get', 'back', 'in', 'the', 'game']	['a', 'dead', 'man', 'has', 'one', 'half', 'hour', 'to', 'raise', 'his', 'roll', 'outside', 'and', 'get', 'back', 'in', 'the', 'game']	a dead man has one half hour to rais his roll outsid and get back in the game	1
A guy that's talking about he's gonna solve all your problems .	['a', 'guy', 'that', 'talk', 'about', 'hes', 'gonna', 'solv', 'all', 'your', 'problem']	['a', 'guy', 'thats', 'talking', 'about', 'hes', 'gonna', 'solve', 'all', 'your', 'problems']	a guy that talk about hes gonna solv all your problem	1
A guy who was a pain in the neck even before I carried his stuff .	['a', 'guy', 'who', 'was', 'a', 'pain', 'in', 'the', 'neck', 'even', 'befor', 'i', 'carri', 'his', 'stuff']	['a', 'guy', 'who', 'was', 'a', 'pain', 'in', 'the', 'neck', 'even', 'before', 'i', 'carried', 'his', 'stuff']	a guy who was a pain in the neck even befor i carri his stuff	1
A hundred of these are produced every day and sent to sweatshops where urban slaves prepare this poison for our friends , our loved ones , our children .	['a', 'hundr', 'of', 'these', 'are', 'produc', 'everi', 'day', 'and', 'sent', 'to', 'sweatshop', 'where', 'urban', 'slave', 'prepar', 'this', 'poison', 'for', 'our', 'friend', 'our', 'love', 'one', 'our', 'children']	['a', 'hundred', 'of', 'these', 'are', 'produced', 'every', 'day', 'and', 'sent', 'to', 'sweatshops', 'where', 'urban', 'slaves', 'prepare', 'this', 'poison', 'for', 'our', 'friends', 'our', 'loved', 'ones', 'our', 'children']	a hundr of these are produc everi day and sent to sweatshop where urban slave prepar this poison for our friend our love one our children	1, 3
A lady wouldn't work for this outfit .	['a', 'ladi', 'wouldnt', 'work', 'for', 'this', 'outfit']	['a', 'lady', 'wouldnt', 'work', 'for', 'this', 'outfit']	a ladi wouldnt work for this outfit	1
A little dicey doing a background on an FBI agent .	['a', 'littl', 'dicey', 'do', 'a', 'background', 'on', 'an', 'fbi', 'agent']	['a', 'little', 'dicey', 'doing', 'a', 'background', 'on', 'an', 'fbi', 'agent']	a littl dicey do a background on an fbi agent	1
A little restraint ?	['a', 'littl', 'restraint']	['a', 'little', 'restraint']	a littl restraint	1
A little rush ?	['a', 'littl', 'rush']	['a', 'little', 'rush']	a littl rush	1
A lost decade , but it was worth it to make your father pay for my loss .	['a', 'lost', 'decad', 'but', 'it', 'was', 'worth', 'it', 'to', 'make', 'your', 'father', 'pay', 'for', 'my', 'loss']	['a', 'lost', 'decade', 'but', 'it', 'was', 'worth', 'it', 'to', 'make', 'your', 'father', 'pay', 'for', 'my', 'loss']	a lost decad but it was worth it to make your father pay for my loss	1
A lot of junk all right ...	['a', 'lot', 'of', 'junk', 'all', 'right']	['a', 'lot', 'of', 'junk', 'all', 'right']	a lot of junk all right	1
A lot of people are going to pay for this night .	['a', 'lot', 'of', 'peopl', 'are', 'go', 'to', 'pay', 'for', 'this', 'night']	['a', 'lot', 'of', 'people', 'are', 'going', 'to', 'pay', 'for', 'this', 'night']	a lot of peopl are go to pay for this night	1
A lot of you incumbents will be in danger of losing your seats .	['a', 'lot', 'of', 'you', 'incumb', 'will', 'be', 'in', 'danger', 'of', 'lose', 'your', 'seat']	['a', 'lot', 'of', 'you', 'incumbents', 'will', 'be', 'in', 'danger', 'of', 'losing', 'your', 'seats']	a lot of you incumb will be in danger of lose your seat	1
A man is going to die .	['a', 'man', 'is', 'go', 'to', 'die']	['a', 'man', 'is', 'going', 'to', 'die']	a man is go to die	1, 6
A map's no good in the outback !	['a', 'map', 'no', 'good', 'in', 'the', 'outback']	['a', 'maps', 'no', 'good', 'in', 'the', 'outback']	a map no good in the outback	1
A perfect place to lose anybody , but this little doll's our cover story .	['a', 'perfect', 'place', 'to', 'lose', 'anybodi', 'but', 'this', 'littl', 'doll', 'our', 'cover', 'stori']	['a', 'perfect', 'place', 'to', 'lose', 'anybody', 'but', 'this', 'little', 'dolls', 'our', 'cover', 'story']	a perfect place to lose anybodi but this littl doll our cover stori	1
A traitor !	['a', 'traitor']	['a', 'traitor']	a traitor	1, 3
A woman who drinks is bad enough and I will not stand for a woman cursing and blaspheming God .	['a', 'woman', 'who', 'drink', 'is', 'bad', 'enough', 'and', 'i', 'will', 'not', 'stand', 'for', 'a', 'woman', 'curs', 'and', 'blasphem', 'god']	['a', 'woman', 'who', 'drinks', 'is', 'bad', 'enough', 'and', 'i', 'will', 'not', 'stand', 'for', 'a', 'woman', 'cursing', 'and', 'blaspheming', 'god']	a woman who drink is bad enough and i will not stand for a woman curs and blasphem god	1, 3
[PERSON] , why don't you just ... Lighten up .	['person', 'whi', 'dont', 'you', 'just', 'lighten', 'up']	['person', 'why', 'dont', 'you', 'just', 'lighten', 'up']	person whi dont you just lighten up	1, 2
About time !	['about', 'time']	['about', 'time']	about time	1
Absolute disregard to not show up .	['absolut', 'disregard', 'to', 'not', 'show', 'up']	['absolute', 'disregard', 'to', 'not', 'show', 'up']	absolut disregard to not show up	1
Acknowledge , over .	['acknowledg', 'over']	['acknowledge', 'over']	acknowledg over	1
Acts of homicide and cannibalism reported through the afternoon are contributable , at least in part , to these reactivated bodies .	['act', 'of', 'homicid', 'and', 'cannib', 'report', 'through', 'the', 'afternoon', 'are', 'contribut', 'at', 'least', 'in', 'part', 'to', 'these', 'reactiv', 'bodi']	['acts', 'of', 'homicide', 'and', 'cannibalism', 'reported', 'through', 'the', 'afternoon', 'are', 'contributable', 'at', 'least', 'in', 'part', 'to', 'these', 'reactivated', 'bodies']	act of homicid and cannib report through the afternoon are contribut at least in part to these reactiv bodi	1, 6
[PERSON] , I don't think it'd be so bad if I taught him how to throw a few ...	['person', 'i', 'dont', 'think', 'itd', 'be', 'so', 'bad', 'if', 'i', 'taught', 'him', 'how', 'to', 'throw', 'a', 'few']	['person', 'i', 'dont', 'think', 'itd', 'be', 'so', 'bad', 'if', 'i', 'taught', 'him', 'how', 'to', 'throw', 'a', 'few']	person i dont think itd be so bad if i taught him how to throw a few	1
[PERSON] , what did I do ?	['person', 'what', 'did', 'i', 'do']	['person', 'what', 'did', 'i', 'do']	person what did i do	1
[PERSON] , where's the kid ?	['person', 'where', 'the', 'kid']	['person', 'wheres', 'the', 'kid']	person where the kid	1
After that , I don't care if you've found the Holy Grail .	['after', 'that', 'i', 'dont', 'care', 'if', 'youv', 'found', 'the', 'holi', 'grail']	['after', 'that', 'i', 'dont', 'care', 'if', 'youve', 'found', 'the', 'holy', 'grail']	after that i dont care if youv found the holi grail	1
After them ! After them !	['after', 'them', 'after', 'them']	['after', 'them', 'after', 'them']	after them after them	1, 2
After them ... slowly !	['after', 'them', 'slowli']	['after', 'them', 'slowly']	after them slowli	1, 2
Ah , for fuck's sake , mate .	['ah', 'for', 'fuck', 'sake', 'mate']	['ah', 'for', 'fucks', 'sake', 'mate']	ah for fuck sake mate	1
Ah ! - You should listen to your brother .	['ah', 'you', 'should', 'listen', 'to', 'your', 'brother']	['ah', 'you', 'should', 'listen', 'to', 'your', 'brother']	ah you should listen to your brother	1, 7
Ahem . Father brophy was very disturbed .	['ahem', 'father', 'brophi', 'was', 'veri', 'disturb']	['ahem', 'father', 'brophy', 'was', 'very', 'disturbed']	ahem father brophi was veri disturb	1, 6
Ain't gonna get tied down with no girl .	['aint', 'gonna', 'get', 'tie', 'down', 'with', 'no', 'girl']	['aint', 'gonna', 'get', 'tied', 'down', 'with', 'no', 'girl']	aint gonna get tie down with no girl	1, 2
Ain't much you can do about us .	['aint', 'much', 'you', 'can', 'do', 'about', 'us']	['aint', 'much', 'you', 'can', 'do', 'about', 'us']	aint much you can do about us	1
Ain't nobody in the world gonna drive this except me .	['aint', 'nobodi', 'in', 'the', 'world', 'gonna', 'drive', 'this', 'except', 'me']	['aint', 'nobody', 'in', 'the', 'world', 'gonna', 'drive', 'this', 'except', 'me']	aint nobodi in the world gonna drive this except me	1
Alas ... Scalpel .	['ala', 'scalpel']	['alas', 'scalpel']	ala scalpel	1, 2
