text	text_nopunct	text_downcase	tokenized	nostop	lemmatized	label
I roll with him all the time , and he rolled with us on that move .	I roll with him all the time  and he rolled with us on that move	i roll with him all the time  and he rolled with us on that move	['i', 'roll', 'with', 'him', 'all', 'the', 'time', 'and', 'he', 'rolled', 'with', 'us', 'on', 'that', 'move']	['roll', 'time', 'rolled', 'us', 'move']	['roll', 'time', 'rolled', 'u', 'move']	8
I'm not gonna sit here and be accused of things without any evidence !	Im not gonna sit here and be accused of things without any evidence	im not gonna sit here and be accused of things without any evidence	['im', 'not', 'gonna', 'sit', 'here', 'and', 'be', 'accused', 'of', 'things', 'without', 'any', 'evidence']	['im', 'gonna', 'sit', 'accused', 'things', 'without', 'evidence']	['im', 'gonna', 'sit', 'accused', 'thing', 'without', 'evidence']	1
You never used to drink it straight like that .	You never used to drink it straight like that	you never used to drink it straight like that	['you', 'never', 'used', 'to', 'drink', 'it', 'straight', 'like', 'that']	['never', 'used', 'drink', 'straight', 'like']	['never', 'used', 'drink', 'straight', 'like']	7
There is a question as to what kind of society we're going to be , whether we're going to tolerate sexual trafficking in children .	There is a question as to what kind of society were going to be  whether were going to tolerate sexual trafficking in children	there is a question as to what kind of society were going to be  whether were going to tolerate sexual trafficking in children	['there', 'is', 'a', 'question', 'as', 'to', 'what', 'kind', 'of', 'society', 'were', 'going', 'to', 'be', 'whether', 'were', 'going', 'to', 'tolerate', 'sexual', 'trafficking', 'in', 'children']	['question', 'kind', 'society', 'going', 'whether', 'going', 'tolerate', 'sexual', 'trafficking', 'children']	['question', 'kind', 'society', 'going', 'whether', 'going', 'tolerate', 'sexual', 'trafficking', 'child']	4, 6
More chanting ! Father !	More chanting  Father	more chanting  father	['more', 'chanting', 'father']	['chanting', 'father']	['chanting', 'father']	2, 5
Now we're even .	Now were even	now were even	['now', 'were', 'even']	['even']	['even']	8, 3, 5
Well , we'll figure something out .	Well  well figure something out	well  well figure something out	['well', 'well', 'figure', 'something', 'out']	['well', 'well', 'figure', 'something']	['well', 'well', 'figure', 'something']	8
The [PERSON] woman died today .	The PERSON woman died today	the person woman died today	['the', 'person', 'woman', 'died', 'today']	['person', 'woman', 'died', 'today']	['person', 'woman', 'died', 'today']	6
Uh , [PERSON] ? Here .	Uh  PERSON  Here	uh  person  here	['uh', 'person', 'here']	['uh', 'person']	['uh', 'person']	8, 2
You run a taut ship .	You run a taut ship	you run a taut ship	['you', 'run', 'a', 'taut', 'ship']	['run', 'taut', 'ship']	['run', 'taut', 'ship']	3, 4
Let me handle your husband's career and you can live like human beings again .	Let me handle your husbands career and you can live like human beings again	let me handle your husbands career and you can live like human beings again	['let', 'me', 'handle', 'your', 'husbands', 'career', 'and', 'you', 'can', 'live', 'like', 'human', 'beings', 'again']	['let', 'handle', 'husbands', 'career', 'live', 'like', 'human', 'beings']	['let', 'handle', 'husband', 'career', 'live', 'like', 'human', 'being']	3
[PERSON] , it's so good to have you around .	PERSON  its so good to have you around	person  its so good to have you around	['person', 'its', 'so', 'good', 'to', 'have', 'you', 'around']	['person', 'good', 'around']	['person', 'good', 'around']	5
And with the telling , it became easier .	And with the telling  it became easier	and with the telling  it became easier	['and', 'with', 'the', 'telling', 'it', 'became', 'easier']	['telling', 'became', 'easier']	['telling', 'became', 'easier']	5
I guess we're all trying to prove something to ourselves .	I guess were all trying to prove something to ourselves	i guess were all trying to prove something to ourselves	['i', 'guess', 'were', 'all', 'trying', 'to', 'prove', 'something', 'to', 'ourselves']	['guess', 'trying', 'prove', 'something']	['guess', 'trying', 'prove', 'something']	6
We didn't have a mortgage .	We didnt have a mortgage	we didnt have a mortgage	['we', 'didnt', 'have', 'a', 'mortgage']	['didnt', 'mortgage']	['didnt', 'mortgage']	6
They say it is the skin of a dead snake .	They say it is the skin of a dead snake	they say it is the skin of a dead snake	['they', 'say', 'it', 'is', 'the', 'skin', 'of', 'a', 'dead', 'snake']	['say', 'skin', 'dead', 'snake']	['say', 'skin', 'dead', 'snake']	3
Call me , okay ?	Call me  okay	call me  okay	['call', 'me', 'okay']	['call', 'okay']	['call', 'okay']	4, 5
I had the most frightening experience .	I had the most frightening experience	i had the most frightening experience	['i', 'had', 'the', 'most', 'frightening', 'experience']	['frightening', 'experience']	['frightening', 'experience']	4
Look , we don't need him .	Look  we dont need him	look  we dont need him	['look', 'we', 'dont', 'need', 'him']	['look', 'dont', 'need']	['look', 'dont', 'need']	3
We didn't win because [PERSON] has video of [PERSON] in their offices .	We didnt win because PERSON has video of PERSON in their offices	we didnt win because person has video of person in their offices	['we', 'didnt', 'win', 'because', 'person', 'has', 'video', 'of', 'person', 'in', 'their', 'offices']	['didnt', 'win', 'person', 'video', 'person', 'offices']	['didnt', 'win', 'person', 'video', 'person', 'office']	1
You listen to me .	You listen to me	you listen to me	['you', 'listen', 'to', 'me']	['listen']	['listen']	1
Somebody told me they thought he'd killed a man once .	Somebody told me they thought hed killed a man once	somebody told me they thought hed killed a man once	['somebody', 'told', 'me', 'they', 'thought', 'hed', 'killed', 'a', 'man', 'once']	['somebody', 'told', 'thought', 'hed', 'killed', 'man']	['somebody', 'told', 'thought', 'hed', 'killed', 'man']	4
Turn him off .	Turn him off	turn him off	['turn', 'him', 'off']	['turn']	['turn']	1, 2
It made me Mink about all of us being together again and how we used to be .	It made me Mink about all of us being together again and how we used to be	it made me mink about all of us being together again and how we used to be	['it', 'made', 'me', 'mink', 'about', 'all', 'of', 'us', 'being', 'together', 'again', 'and', 'how', 'we', 'used', 'to', 'be']	['made', 'mink', 'us', 'together', 'used']	['made', 'mink', 'u', 'together', 'used']	6
That explains why they didn't rape me right off .	That explains why they didnt rape me right off	that explains why they didnt rape me right off	['that', 'explains', 'why', 'they', 'didnt', 'rape', 'me', 'right', 'off']	['explains', 'didnt', 'rape', 'right']	['explains', 'didnt', 'rape', 'right']	4
I read it in a report this morning and ...	I read it in a report this morning and	i read it in a report this morning and	['i', 'read', 'it', 'in', 'a', 'report', 'this', 'morning', 'and']	['read', 'report', 'morning']	['read', 'report', 'morning']	6
I'd want to pay you both .	Id want to pay you both	id want to pay you both	['id', 'want', 'to', 'pay', 'you', 'both']	['id', 'want', 'pay']	['id', 'want', 'pay']	8
I'm supposed to be your partner here .	Im supposed to be your partner here	im supposed to be your partner here	['im', 'supposed', 'to', 'be', 'your', 'partner', 'here']	['im', 'supposed', 'partner']	['im', 'supposed', 'partner']	1
You know , he's ... he's been so kind to me .	You know  hes  hes been so kind to me	you know  hes  hes been so kind to me	['you', 'know', 'hes', 'hes', 'been', 'so', 'kind', 'to', 'me']	['know', 'hes', 'hes', 'kind']	['know', 'he', 'he', 'kind']	8
He'll never leave [LOCATION] . Then let him stay .	Hell never leave LOCATION  Then let him stay	hell never leave location  then let him stay	['hell', 'never', 'leave', 'location', 'then', 'let', 'him', 'stay']	['hell', 'never', 'leave', 'location', 'let', 'stay']	['hell', 'never', 'leave', 'location', 'let', 'stay']	1
She's down .	Shes down	shes down	['shes', 'down']	['shes']	['shes']	6
