## lowercase remove punctuation, stop words, stemmed, with emotions
	      precision    recall  f1-score   support

       anger       0.42      0.47      0.44       379
anticipation       0.39      0.48      0.43       334
     disgust       0.31      0.25      0.28       230
        fear       0.37      0.39      0.38       244
         joy       0.52      0.60      0.56       286
     sadness       0.39      0.42      0.40       249
    surprise       0.29      0.45      0.35       252
       trust       0.34      0.41      0.37       270

   micro avg       0.38      0.44      0.41      2244
   macro avg       0.38      0.43      0.40      2244
weighted avg       0.38      0.44      0.41      2244
 samples avg       0.36      0.47      0.39      2244

### lowercase, remove punctuation, stemmed, with emotions

              precision    recall  f1-score   support

       anger       0.50      0.46      0.48       379
anticipation       0.46      0.48      0.47       334
     disgust       0.37      0.25      0.30       230
        fear       0.41      0.36      0.38       244
         joy       0.56      0.57      0.56       286
     sadness       0.44      0.35      0.39       249
    surprise       0.40      0.36      0.38       252
       trust       0.43      0.38      0.40       270

   micro avg       0.46      0.41      0.43      2244
   macro avg       0.45      0.40      0.42      2244
weighted avg       0.45      0.41      0.43      2244
 samples avg       0.39      0.44      0.39      2244

### feature importance ^^

Emotion: anger
        Feature: fuck, Importance: 0.7453310654116149
        Feature: bullshit, Importance: 0.5598640797347334
        Feature: goddamn, Importance: 0.5327836279606981
        Feature: shut, Importance: 0.5219853894878878
        Feature: damn, Importance: 0.4978091721283752
        Feature: quiet, Importance: 0.4500857252862559
        Feature: object, Importance: 0.4226789950445325
        Feature: refus, Importance: 0.4196493182625962
        Feature: yeah yeah, Importance: 0.4061855889004213
        Feature: got my, Importance: 0.4012619601347724
        Feature: raw_anger, Importance: 0.3038678804031904
        Feature: raw_disgust, Importance: 0.064447106220342
        Feature: raw_anticipation, Importance: -0.02187567099176918
        Feature: raw_sadness, Importance: -0.12753473644377716
        Feature: raw_surprise, Importance: -0.1303181515490502
        Feature: raw_trust, Importance: -0.1320186916372646
        Feature: raw_fear, Importance: -0.1882431000009799
        Feature: raw_joy, Importance: -0.35315668001597317

Emotion: anticipation
        Feature: ill, Importance: 0.6215631613607
        Feature: hell, Importance: 0.5126640340861542
        Feature: tonight, Importance: 0.49005248346675484
        Feature: readi, Importance: 0.4444564789841634
        Feature: let, Importance: 0.42592655396246193
        Feature: soon, Importance: 0.41795500361473353
        Feature: come, Importance: 0.394978562947292
        Feature: where, Importance: 0.3905398338048066
        Feature: cant wait, Importance: 0.3786715834239723
        Feature: is it, Importance: 0.3722316845132188
        Feature: raw_anticipation, Importance: 0.24337103892103262
        Feature: raw_fear, Importance: -0.02585065727933809
        Feature: raw_surprise, Importance: -0.031009145657257823
        Feature: raw_trust, Importance: -0.06565029401933747
        Feature: raw_anger, Importance: -0.08581964897393884
        Feature: raw_joy, Importance: -0.21769579267635752
        Feature: raw_sadness, Importance: -0.3958633684859282
        Feature: raw_disgust, Importance: -0.4275447151183475

Emotion: disgust
        Feature: raw_disgust, Importance: 0.8770838144404065
        Feature: stupid, Importance: 0.7657780986473796
        Feature: drunk, Importance: 0.6233501994153603
        Feature: bullshit, Importance: 0.6021232891666907
        Feature: lie, Importance: 0.5307345586543907
        Feature: sucker, Importance: 0.506483594792391
        Feature: coward, Importance: 0.4713865089152074
        Feature: amateur, Importance: 0.47019335982034405
        Feature: idiot, Importance: 0.4557831284838292
        Feature: it person, Importance: 0.4517561651077402
        Feature: raw_anger, Importance: 0.14348742901455988
        Feature: raw_sadness, Importance: -0.04858568296506895
        Feature: raw_trust, Importance: -0.0921091689566672
        Feature: raw_anticipation, Importance: -0.09837425211514146
        Feature: raw_fear, Importance: -0.1319748311277122
        Feature: raw_surprise, Importance: -0.19866532618927138
        Feature: raw_joy, Importance: -0.30089024159168615

Emotion: fear
        Feature: raw_fear, Importance: 0.6743078045632606
        Feature: troubl, Importance: 0.6145369917069976
        Feature: faint, Importance: 0.5261748218956506
        Feature: be care, Importance: 0.4758715761591688
        Feature: kill, Importance: 0.46600893978303504
        Feature: ghost, Importance: 0.4647396728280798
        Feature: rob, Importance: 0.46467267890099906
        Feature: mistak, Importance: 0.45439092830617106
