text	tokenized	preprocessed	label
, ...	['']		1
!	['']		1, 4, 7
... And I don't think we need to discuss the Trinity any more .	['dont', 'think', 'need', 'discuss', 'triniti', 'ani']	dont think need discuss triniti ani	8, 1
* So get up out of your bed	['get', 'bed']	get bed	1
A confession that you hired [PERSON] ... and are responsible for my father's murder .	['confess', 'hire', 'person', 'respons', 'father', 'murder']	confess hire person respons father murder	1, 6
A dead man has one half - hour to raise his roll outside and get back in the game .	['dead', 'man', 'one', 'half', 'hour', 'rais', 'roll', 'outsid', 'get', 'back', 'game']	dead man one half hour rais roll outsid get back game	1
A guy that's talking about he's gonna solve all your problems .	['guy', 'talk', 'hes', 'gonna', 'solv', 'problem']	guy talk hes gonna solv problem	1
A guy who was a pain in the neck even before I carried his stuff .	['guy', 'pain', 'neck', 'even', 'befor', 'carri', 'stuff']	guy pain neck even befor carri stuff	1
A hundred of these are produced every day and sent to sweatshops where urban slaves prepare this poison for our friends , our loved ones , our children .	['hundr', 'produc', 'everi', 'day', 'sent', 'sweatshop', 'urban', 'slave', 'prepar', 'poison', 'friend', 'love', 'one', 'children']	hundr produc everi day sent sweatshop urban slave prepar poison friend love one children	1, 3
A lady wouldn't work for this outfit .	['ladi', 'wouldnt', 'work', 'outfit']	ladi wouldnt work outfit	1
A little dicey doing a background on an FBI agent .	['littl', 'dicey', 'background', 'fbi', 'agent']	littl dicey background fbi agent	1
A little restraint ?	['littl', 'restraint']	littl restraint	1
A little rush ?	['littl', 'rush']	littl rush	1
A lost decade , but it was worth it to make your father pay for my loss .	['lost', 'decad', 'worth', 'make', 'father', 'pay', 'loss']	lost decad worth make father pay loss	1
A lot of junk all right ...	['lot', 'junk', 'right']	lot junk right	1
A lot of people are going to pay for this night .	['lot', 'peopl', 'go', 'pay', 'night']	lot peopl go pay night	1
A lot of you incumbents will be in danger of losing your seats .	['lot', 'incumb', 'danger', 'lose', 'seat']	lot incumb danger lose seat	1
A man is going to die .	['man', 'go', 'die']	man go die	1, 6
A map's no good in the outback !	['map', 'good', 'outback']	map good outback	1
A perfect place to lose anybody , but this little doll's our cover story .	['perfect', 'place', 'lose', 'anybodi', 'littl', 'doll', 'cover', 'stori']	perfect place lose anybodi littl doll cover stori	1
A traitor !	['traitor']	traitor	1, 3
A woman who drinks is bad enough and I will not stand for a woman cursing and blaspheming God .	['woman', 'drink', 'bad', 'enough', 'stand', 'woman', 'curs', 'blasphem', 'god']	woman drink bad enough stand woman curs blasphem god	1, 3
[PERSON] , why don't you just ... Lighten up .	['person', 'whi', 'dont', 'lighten']	person whi dont lighten	1, 2
About time !	['time']	time	1
Absolute disregard to not show up .	['absolut', 'disregard', 'show']	absolut disregard show	1
Acknowledge , over .	['acknowledg']	acknowledg	1
Acts of homicide and cannibalism reported through the afternoon are contributable , at least in part , to these reactivated bodies .	['act', 'homicid', 'cannib', 'report', 'afternoon', 'contribut', 'least', 'part', 'reactiv', 'bodi']	act homicid cannib report afternoon contribut least part reactiv bodi	1, 6
[PERSON] , I don't think it'd be so bad if I taught him how to throw a few ...	['person', 'dont', 'think', 'itd', 'bad', 'taught', 'throw']	person dont think itd bad taught throw	1
[PERSON] , what did I do ?	['person']	person	1
[PERSON] , where's the kid ?	['person', 'kid']	person kid	1
After that , I don't care if you've found the Holy Grail .	['dont', 'care', 'youv', 'found', 'holi', 'grail']	dont care youv found holi grail	1
After them ! After them !	[]		1, 2
After them ... slowly !	['slowli']	slowli	1, 2
Ah , for fuck's sake , mate .	['ah', 'fuck', 'sake', 'mate']	ah fuck sake mate	1
Ah ! - You should listen to your brother .	['ah', 'listen', 'brother']	ah listen brother	1, 7
Ahem . Father brophy was very disturbed .	['ahem', 'father', 'brophi', 'veri', 'disturb']	ahem father brophi veri disturb	1, 6
Ain't gonna get tied down with no girl .	['aint', 'gonna', 'get', 'tie', 'girl']	aint gonna get tie girl	1, 2
Ain't much you can do about us .	['aint', 'much', 'us']	aint much us	1
Ain't nobody in the world gonna drive this except me .	['aint', 'nobodi', 'world', 'gonna', 'drive', 'except']	aint nobodi world gonna drive except	1
Alas ... Scalpel .	['ala', 'scalpel']	ala scalpel	1, 2
[PERSON] , will you let me finish ?	['person', 'let', 'finish']	person let finish	1
All dead , you mean !	['dead', 'mean']	dead mean	1
All hands to rescue stations !	['hand', 'rescu', 'station']	hand rescu station	1, 2, 4
All happened on your watch .	['happen', 'watch']	happen watch	1, 3
All I asked you is where the hell [PERSON] is .	['ask', 'hell', 'person']	ask hell person	1
All I can charge him with is riding on a train . They're gonna walk .	['charg', 'ride', 'train', 'theyr', 'gonna', 'walk']	charg ride train theyr gonna walk	1
All I know is that I'd like to meet a member of the judiciary or a member of Congress that thinks that this situation , the status quo is satisfactory .	['know', 'id', 'like', 'meet', 'member', 'judiciari', 'member', 'congress', 'think', 'situat', 'status', 'quo', 'satisfactori']	know id like meet member judiciari member congress think situat status quo satisfactori	1, 3
All I want to do is make things as difficult as possible .	['want', 'make', 'thing', 'difficult', 'possibl']	want make thing difficult possibl	1
All I'm saying is maybe all the child needs is to be loved .	['im', 'say', 'mayb', 'child', 'need', 'love']	im say mayb child need love	8, 1, 2
All other movements are restricted .	['movement', 'restrict']	movement restrict	1, 2
All right , I will !	['right']	right	1
All right , next time I hear it , I am taking it away .	['right', 'next', 'time', 'hear', 'take', 'away']	right next time hear take away	1
All right , not now , but you need to hear this .	['right', 'need', 'hear']	right need hear	1
All right , now , send that woman and her young ' uns out !	['right', 'send', 'woman', 'young', 'un']	right send woman young un	1
All right , [LOCATION] , that's enough .	['right', 'locat', 'enough']	right locat enough	1
All right , talk !	['right', 'talk']	right talk	1, 2
All right , what is it if I may ask , You do want to do ?	['right', 'may', 'ask', 'want']	right may ask want	1
All right !	['right']	right	1, 2, 5
All right . I'll talk to [PERSON] .	['right', 'ill', 'talk', 'person']	right ill talk person	1
All right . I've heard enough . I've heard enough .	['right', 'ive', 'heard', 'enough', 'ive', 'heard', 'enough']	right ive heard enough ive heard enough	1, 3
All right . Let's go .	['right', 'let', 'go']	right let go	1, 2
All that Latino macho shit .	['latino', 'macho', 'shit']	latino macho shit	1
All the officers were disloyal .	['offic', 'disloy']	offic disloy	1, 3, 6, 7
All this talk's just wasting time .	['talk', 'wast', 'time']	talk wast time	1
All those bottles , of sizes different , completely in the wrong order ...	['bottl', 'size', 'differ', 'complet', 'wrong', 'order']	bottl size differ complet wrong order	1
All those guns and violence ...	['gun', 'violenc']	gun violenc	1, 3, 4, 6
All you have to do ... is point her out and look the other way .	['point', 'look', 'way']	point look way	1, 3, 7
All : Ohh , shit .	['ohh', 'shit']	ohh shit	1, 4
[PERSON] , what have you done my little sister ?	['person', 'done', 'littl', 'sister']	person done littl sister	1
Alright , have it any way you want !	['alright', 'ani', 'way', 'want']	alright ani way want	1, 3
Alright , knock it off !	['alright', 'knock']	alright knock	1
Altitude !	['altitud']	altitud	1
Altitude ? - Altitude . You want some altitude ?	['altitud', 'altitud', 'want', 'altitud']	altitud altitud want altitud	1
Am I okay ? Everybody's worried sick about you .	['okay', 'everybodi', 'worri', 'sick']	okay everybodi worri sick	1
Am I wrong , Lady ?	['wrong', 'ladi']	wrong ladi	8, 1, 2
Amateur .	['amateur']	amateur	1, 3
An executive order ...	['execut', 'order']	execut order	1
An ... an accident ? Easy , [PERSON] , easy . Watch the rug .	['accid', 'easi', 'person', 'easi', 'watch', 'rug']	accid easi person easi watch rug	1, 4, 7
And actresses are treated like I hate to use the word , but , shit .	['actress', 'treat', 'like', 'hate', 'use', 'word', 'shit']	actress treat like hate use word shit	1, 3, 4, 6
And all that crap .	['crap']	crap	1
And [PERSON] , she won't help me to solve them .	['person', 'wont', 'help', 'solv']	person wont help solv	1
And don't bother sending a bill , either !	['dont', 'bother', 'send', 'bill', 'either']	dont bother send bill either	1
And don't mess with nobody's girlfriend .	['dont', 'mess', 'nobodi', 'girlfriend']	dont mess nobodi girlfriend	8, 1
And don't try anything funny , cos you know what you'll get .	['dont', 'tri', 'anyth', 'funni', 'cos', 'know', 'youll', 'get']	dont tri anyth funni cos know youll get	1
And don't waste none of his time , because he ain't staying around long .	['dont', 'wast', 'none', 'time', 'becaus', 'aint', 'stay', 'around', 'long']	dont wast none time becaus aint stay around long	1
And he waded in there with a lead pipe and he saved your ass and now you're going to deny him over his dead body ?	['wade', 'lead', 'pipe', 'save', 'ass', 'go', 'deni', 'dead', 'bodi']	wade lead pipe save ass go deni dead bodi	1
And how about translators ?	['translat']	translat	1
And how do you know that ?	['know']	know	8, 1
And how is that different than all the times you risked me ?	['differ', 'time', 'risk']	differ time risk	1
And I ain't gonna repeat what he said .	['aint', 'gonna', 'repeat', 'said']	aint gonna repeat said	1
And I can't get started .	['cant', 'get', 'start']	cant get start	1
And I dangled it in front of him and ripped it away .	['dangl', 'front', 'rip', 'away']	dangl front rip away	1, 3, 7
And I don't care whether you go down with him or not .	['dont', 'care', 'whether', 'go']	dont care whether go	1
And I don't share my husband with anyone !	['dont', 'share', 'husband', 'anyon']	dont share husband anyon	1
