text,preprocessed,label,raw_anger,raw_anticipation,raw_disgust,raw_fear,raw_joy,raw_sadness,raw_surprise,raw_trust,emotion_words
"I roll with him all the time , and he rolled with us on that move .","['roll', 'time', 'rolled', 'u', 'move']",8,0.0,0.516,0.0,0.0,0.0,0.0,0.0,0.0,['time']
I'm not gonna sit here and be accused of things without any evidence !,"['im', 'gonna', 'sit', 'accused', 'thing', 'without', 'evidence']",1,0.641,0.0,0.0,0.469,0.0,0.0,0.0,0.0,['accused']
You never used to drink it straight like that .,"['never', 'used', 'drink', 'straight', 'like']",7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.484,['like']
"There is a question as to what kind of society we're going to be , whether we're going to tolerate sexual trafficking in children .","['question', 'kind', 'society', 'going', 'whether', 'going', 'tolerate', 'sexual', 'trafficking', 'child']","4, 6",0.106,0.523,0.0,0.0,1.087,0.141,0.0,0.641,"['kind', 'tolerate', 'child']"
More chanting ! Father !,"['chanting', 'father']","2, 5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.586,['father']
Now we're even .,['even'],"8, 3, 5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
"Well , we'll figure something out .","['well', 'well', 'figure', 'something']",8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
The [PERSON] woman died today .,"['person', 'woman', 'died', 'today']",6,0.0,0.0,0.0,0.0,0.0,0.906,0.0,0.0,['died']
"Uh , [PERSON] ? Here .","['uh', 'person']","8, 2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
You run a taut ship .,"['run', 'taut', 'ship']","3, 4",0.0,0.383,0.0,0.25,0.0,0.0,0.0,0.0,"['run', 'ship']"
Let me handle your husband's career and you can live like human beings again .,"['let', 'handle', 'husband', 'career', 'live', 'like', 'human', 'being']",3,0.0,0.453,0.0,0.0,0.8440000000000001,0.0,0.0,0.484,"['husband', 'career', 'live', 'like']"
